time,gFx,gFy,gFz,gFTotal
0.0028340816497802734,-0.1107025146484375,-0.2386932373046875,-0.929290771484375,0.966
0.010406970977783203,-0.1291961669921875,-0.2376708984375,-1.0070037841796875,1.043
0.020633220672607422,-0.0556640625,-0.187713623046875,-1.12908935546875,1.146
0.0317840576171875,0.0052337646484375,-0.1962890625,-1.1952362060546875,1.211
0.04076504707336426,0.0364227294921875,-0.166046142578125,-1.1500244140625,1.163
0.06558799743652344,-1.52587890625e-05,-0.213592529296875,-0.95758056640625,0.981
0.06595110893249512,-1.52587890625e-05,-0.213592529296875,-0.95758056640625,0.981
0.07026410102844238,0.0399322509765625,-0.2470855712890625,-0.8893280029296875,0.924
0.08088803291320801,0.0818023681640625,-0.3125762939453125,-0.870574951171875,0.929
0.09131312370300293,0.0875396728515625,-0.3206634521484375,-0.8695831298828125,0.931
0.10189008712768555,0.0579376220703125,-0.3337860107421875,-0.8978729248046875,0.96
0.11160612106323242,0.05694580078125,-0.350738525390625,-1.0401763916015625,1.099
0.1215670108795166,0.0724945068359375,-0.323699951171875,-1.1238250732421875,1.172
0.13228201866149902,0.07080078125,-0.2851409912109375,-1.130950927734375,1.168
0.14156603813171387,0.0708465576171875,-0.2715301513671875,-1.108856201171875,1.144
0.1681671142578125,0.0115509033203125,-0.251251220703125,-0.984222412109375,1.016
0.1688699722290039,0.0115509033203125,-0.251251220703125,-0.984222412109375,1.016
0.17253708839416504,-0.006744384765625,-0.252410888671875,-0.9047698974609375,0.939
0.18167400360107422,-0.039276123046875,-0.30352783203125,-0.8573150634765625,0.91
0.19214606285095215,-0.0418548583984375,-0.3516693115234375,-0.8806304931640625,0.949
0.2027721405029297,-0.0150299072265625,-0.3291473388671875,-0.9073028564453125,0.965
0.2134990692138672,-0.01336669921875,-0.3253326416015625,-0.9535675048828125,1.008
0.22255420684814453,-0.0110626220703125,-0.31976318359375,-1.018035888671875,1.067
0.23246002197265625,-0.01300048828125,-0.305816650390625,-1.0380096435546875,1.082
0.24246811866760254,-0.0151214599609375,-0.296173095703125,-1.01019287109375,1.053
0.270845890045166,-0.0398712158203125,-0.2743988037109375,-0.9612884521484375,1.0
0.27141809463500977,-0.0642852783203125,-0.2579803466796875,-0.97967529296875,1.015
0.273327112197876,-0.0642852783203125,-0.2579803466796875,-0.97967529296875,1.015
0.2824680805206299,-0.0737152099609375,-0.2399749755859375,-0.97601318359375,1.008
0.2925901412963867,-0.0701751708984375,-0.25299072265625,-0.98431396484375,1.019
0.30299997329711914,-0.0579833984375,-0.2633514404296875,-0.9846038818359375,1.021
0.31321191787719727,-0.05987548828125,-0.25689697265625,-0.9627227783203125,0.998
0.3234140872955322,-0.0705108642578125,-0.2460479736328125,-0.917266845703125,0.952
0.33311891555786133,-0.064727783203125,-0.2508087158203125,-0.916656494140625,0.953
0.34389495849609375,-0.05938720703125,-0.2508087158203125,-0.9569244384765625,0.991
0.3724689483642578,-0.051239013671875,-0.232818603515625,-0.9674224853515625,0.996
0.3734090328216553,-0.051239013671875,-0.232818603515625,-0.9674224853515625,0.996
0.3751969337463379,-0.051239013671875,-0.232818603515625,-0.9674224853515625,0.996
0.38301897048950195,-0.048736572265625,-0.242828369140625,-0.9703369140625,1.001
0.39350414276123047,-0.04107666015625,-0.251220703125,-0.9751434326171875,1.008
0.4037752151489258,-0.0357513427734375,-0.2532958984375,-0.9660491943359375,0.999
0.41399097442626953,-0.0307464599609375,-0.2565155029296875,-0.9697723388671875,1.004
0.4241321086883545,-0.0325775146484375,-0.2464752197265625,-0.97418212890625,1.005
0.4341259002685547,-0.0363616943359375,-0.233856201171875,-0.9628448486328125,0.992
0.44452714920043945,-0.0361480712890625,-0.2368621826171875,-0.9611053466796875,0.991
0.4738612174987793,-0.0426025390625,-0.254913330078125,-0.933380126953125,0.969
0.47484803199768066,-0.0426025390625,-0.254913330078125,-0.933380126953125,0.969
0.4766390323638916,-0.0426025390625,-0.254913330078125,-0.933380126953125,0.969
0.4842050075531006,-0.04095458984375,-0.262054443359375,-0.940673828125,0.977
0.4946160316467285,-0.03643798828125,-0.252288818359375,-0.9773712158203125,1.01
0.5043540000915527,-0.042205810546875,-0.23809814453125,-0.9963836669921875,1.025
0.5145149230957031,-0.0465850830078125,-0.2279815673828125,-1.0032501220703125,1.03
0.524777889251709,-0.0475311279296875,-0.2244873046875,-1.0008544921875,1.027
0.5350940227508545,-0.0372161865234375,-0.2386322021484375,-0.9949798583984375,1.024
