time ax ay az atotal
0.004060268402099609 0.03 0.02 -0.08 0.08
0.01923227310180664 0.02 0.0 -0.07 0.07
0.0213930606842041 0.02 0.01 -0.01 0.02
0.030478954315185547 0.02 0.0 -0.02 0.02
0.04116415977478027 0.02 0.01 -0.02 0.03
0.05231904983520508 0.03 0.0 -0.03 0.04
0.062162160873413086 0.02 0.0 -0.02 0.02
0.07259225845336914 0.01 0.01 -0.02 0.02
0.09516096115112305 0.02 0.0 -0.04 0.04
0.09745311737060547 0.02 0.0 -0.02 0.02
0.10029911994934082 0.02 0.0 -0.02 0.02
0.11119699478149414 0.02 0.0 -0.02 0.02
0.12174105644226074 0.02 0.01 -0.02 0.03
0.13213396072387695 0.02 0.01 -0.02 0.03
0.14176702499389648 0.02 0.01 -0.02 0.03
0.1533200740814209 0.0 0.01 -0.03 0.03
0.16387605667114258 0.01 0.01 -0.02 0.02
0.1730201244354248 0.02 0.01 -0.02 0.03
0.1968979835510254 0.03 0.01 -0.03 0.04
0.19985294342041016 0.02 0.0 -0.03 0.03
0.20162200927734375 0.02 0.01 -0.02 0.03
0.21161603927612305 0.01 0.01 -0.03 0.03
0.22228312492370605 0.01 0.01 -0.02 0.02
0.2333230972290039 0.01 0.0 -0.03 0.03
0.24300003051757812 0.02 0.0 -0.03 0.03
0.252791166305542 0.02 0.0 -0.03 0.03
0.26378297805786133 0.03 0.0 -0.03 0.04
0.27423620223999023 0.02 0.0 -0.02 0.02
0.29573726654052734 0.01 0.01 -0.02 0.02
0.29774904251098633 0.0 0.01 -0.03 0.03
0.30228114128112793 0.02 0.01 -0.02 0.03
0.3129401206970215 0.02 0.0 -0.03 0.03
0.3229541778564453 0.02 0.0 -0.03 0.03
0.33391809463500977 0.01 0.01 -0.03 0.03
0.34464025497436523 0.02 0.0 -0.02 0.02
0.35407495498657227 0.02 0.01 -0.03 0.03
0.36441802978515625 0.02 0.01 -0.02 0.03
0.3742971420288086 0.02 0.01 -0.03 0.03
0.3950619697570801 0.01 0.0 -0.02 0.02
0.397550106048584 0.02 0.01 -0.02 0.03
0.4025912284851074 0.02 0.02 -0.02 0.03
