time gFx gFy gFz gFTotal
0.00475001335144043 -0.1373443603515625 -0.20147705078125 -0.9632720947265625 0.994
0.012717008590698242 -0.1174163818359375 -0.13958740234375 -0.99444580078125 1.011
0.022763967514038086 -0.0877838134765625 -0.138671875 -1.0176239013671875 1.031
0.03286385536193848 -0.046417236328125 -0.1397705078125 -1.0373687744140625 1.048
0.04482388496398926 0.0028839111328125 -0.142669677734375 -1.0268096923828125 1.037
0.054335832595825195 0.050872802734375 -0.179901123046875 -1.0125274658203125 1.03
0.06309294700622559 0.086456298828125 -0.201141357421875 -1.004364013671875 1.028
0.07473993301391602 0.1028900146484375 -0.2135009765625 -0.9850616455078125 1.013
0.08312487602233887 0.1060638427734375 -0.2308807373046875 -0.9541778564453125 0.987
0.09792900085449219 0.0974578857421875 -0.2378082275390625 -0.925140380859375 0.96
0.10322093963623047 0.0792694091796875 -0.231842041015625 -0.8939971923828125 0.927
0.1134641170501709 0.0559539794921875 -0.198486328125 -0.8682403564453125 0.892
0.12336397171020508 0.0411376953125 -0.162994384765625 -0.8883819580078125 0.904
0.1335008144378662 0.0443267822265625 -0.1422119140625 -0.9392852783203125 0.951
0.14535999298095703 0.06060791015625 -0.139068603515625 -0.964599609375 0.976
0.15516304969787598 0.065093994140625 -0.153717041015625 -0.96392822265625 0.978
0.16379499435424805 0.058624267578125 -0.1700592041015625 -0.9586639404296875 0.975
0.17526888847351074 0.100494384765625 -0.1654510498046875 -0.9298095703125 0.95
0.18378710746765137 0.12677001953125 -0.1698760986328125 -0.9249114990234375 0.949
0.1986219882965088 0.1459503173828125 -0.174774169921875 -0.92535400390625 0.953
0.20390105247497559 0.157318115234375 -0.18255615234375 -0.9852142333984375 1.014
0.2142930030822754 0.142974853515625 -0.175872802734375 -1.0522003173828125 1.076
0.22419285774230957 0.115203857421875 -0.1270904541015625 -1.017608642578125 1.032
0.23417091369628906 0.069427490234375 -0.1635589599609375 -1.0185394287109375 1.034
0.24622511863708496 0.0317535400390625 -0.1330413818359375 -1.016571044921875 1.026
0.2555258274078369 0.0539093017578125 -0.08734130859375 -1.0206298828125 1.026
0.2643439769744873 0.0573272705078125 -0.0588226318359375 -1.049072265625 1.052
